video_path,local_path,usage,split,label,video_fake,audio_fake,generative_method,audio_generative_method,open_set_model,open_set_language,language,status,error
english/memo/15844_common_voice_en_19878627.mp4,infer/memo/15844_common_voice_en_19878627.mp4,eval_track1,test,fake,True,True,memo,xtts_v2,False,False,english,done,
english/memo/51361_common_voice_en_510684.mp4,infer/memo/51361_common_voice_en_510684.mp4,eval_track1,test,fake,True,True,memo,xtts_v2,False,False,english,done,
english/memo/08224_common_voice_en_18871365.mp4,infer/memo/08224_common_voice_en_18871365.mp4,eval_track1,test,fake,True,True,memo,vits+knn,False,False,english,done,
english/memo/55875_common_voice_en_25162864.mp4,infer/memo/55875_common_voice_en_25162864.mp4,eval_track1,test,fake,True,True,memo,xtts_v2,False,False,english,done,
english/memo/31815_common_voice_en_17725439.mp4,infer/memo/31815_common_voice_en_17725439.mp4,eval_track1,test,fake,True,True,memo,xtts_v2,False,False,english,done,
english/memo/00546_common_voice_en_17288192.mp4,infer/memo/00546_common_voice_en_17288192.mp4,eval_track1,test,fake,True,True,memo,xtts_v2,False,False,english,done,
english/memo/07729_common_voice_en_194207.mp4,infer/memo/07729_common_voice_en_194207.mp4,eval_track1,test,fake,True,True,memo,xtts_v2,False,False,english,done,
english/memo/58473_common_voice_en_15734174.mp4,infer/memo/58473_common_voice_en_15734174.mp4,eval_track1,test,fake,True,True,memo,xtts_v2,False,False,english,done,
english/memo/49562_common_voice_en_17580985.mp4,infer/memo/49562_common_voice_en_17580985.mp4,eval_track1,test,fake,True,True,memo,xtts_v2,False,False,english,done,
english/memo/01693_common_voice_en_27391104.mp4,infer/memo/01693_common_voice_en_27391104.mp4,eval_track1,test,fake,True,True,memo,xtts_v2,False,False,english,done,
english/memo/18609_common_voice_en_102980.mp4,infer/memo/18609_common_voice_en_102980.mp4,eval_track1,test,fake,True,True,memo,xtts_v2,False,False,english,done,
english/memo/01737_common_voice_en_73033.mp4,infer/memo/01737_common_voice_en_73033.mp4,eval_track1,test,fake,True,True,memo,xtts_v2,False,False,english,done,
english/memo/51047_common_voice_en_21884994.mp4,infer/memo/51047_common_voice_en_21884994.mp4,eval_track1,test,fake,True,True,memo,xtts_v2,False,False,english,done,
english/memo/28764_common_voice_en_21704820.mp4,infer/memo/28764_common_voice_en_21704820.mp4,eval_track1,test,fake,True,True,memo,xtts_v2,False,False,english,done,
english/memo/59775_common_voice_en_19181726.mp4,infer/memo/59775_common_voice_en_19181726.mp4,eval_track1,test,fake,True,True,memo,vits+knn,False,False,english,done,
english/memo/13495_common_voice_en_25163117.mp4,infer/memo/13495_common_voice_en_25163117.mp4,eval_track1,test,fake,True,True,memo,xtts_v2,False,False,english,done,
english/memo/31336_common_voice_en_20673932.mp4,infer/memo/31336_common_voice_en_20673932.mp4,eval_track1,test,fake,True,True,memo,xtts_v2,False,False,english,done,
english/memo/11906_common_voice_en_30224062.mp4,infer/memo/11906_common_voice_en_30224062.mp4,eval_track1,test,fake,True,True,memo,xtts_v2,False,False,english,done,
